MATERIAL,PO_NUMBER,ERF_NUMBER,ERF_ITEM,ERF_TYPE,SUBMIT_DATE,APPROVED_DATE,QUOTE_SEND_DATE,QUOTE_RETURN_DATE,PO_PLACE_DATE,RECEIPT_DATE,COST,FINAL_COST,QUANTITY
714-068472-401,4700112959,0028243,000220,01,2010-05-20 15:34:51.000,2010-05-21 14:39:32.000,NULL,NULL,2010-05-21 00:00:00.000,2010-06-04 00:00:00.000,399.00,399,1.000
714-068472-402,4700157302,0064841,000040,02,2012-03-07 15:50:01.000,2012-03-07 16:01:47.000,NULL,2012-03-07 17:06:43.000,2012-03-12 00:00:00.000,2012-03-19 00:00:00.000,500.00,120,5.000
714-068472-405,4700227929,0117485,000010,01,NULL,2014-02-25 15:01:04.000,NULL,NULL,2014-02-26 00:00:00.000,2014-03-05 00:00:00.000,400.00,54,28.000
714-068472-152,4700127957,0040800,000250,01,2011-02-04 10:25:01.000,2011-02-04 12:08:09.000,NULL,NULL,2011-02-08 00:00:00.000,2011-03-03 00:00:00.000,150.00,200,6.000
714-068472-005,4700191981,0092661,000010,02,NULL,2013-05-20 13:48:45.000,NULL,2013-05-20 14:15:21.000,2013-05-20 00:00:00.000,2013-06-07 00:00:00.000,233.00,93,10.000
714-068472-409,4700269257,0148958,000010,01,2014-12-08 15:38:01.000,2014-12-08 16:09:44.000,2014-12-09 02:55:37.000,2014-12-09 15:34:08.000,2014-12-15 00:00:00.000,2015-01-02 00:00:00.000,118.00,200,5.000
714-068472-999,4700127942,0040921,000020,01,2011-02-07 14:28:03.000,2011-02-07 16:15:48.000,NULL,NULL,2011-02-14 00:00:00.000,2011-02-15 00:00:00.000,531.29,531.29,1.000
714-068472-153,4700136011,0047160,000020,01,2011-05-13 12:07:44.000,2011-05-13 16:01:53.000,NULL,NULL,2011-05-16 00:00:00.000,2011-05-21 00:00:00.000,238.93,238.93,3.000
714-068472-005,4700191907,0092601,000010,01,2013-05-17 14:09:28.000,2013-05-17 15:08:37.000,NULL,2013-05-17 15:34:07.000,2013-05-17 00:00:00.000,2013-05-30 00:00:00.000,233.00,153,5.000
714-068472-405,4700218797,0110969,000010,01,NULL,2013-12-10 10:13:32.000,NULL,2013-12-10 13:23:25.000,2013-12-10 00:00:00.000,2013-12-20 00:00:00.000,600.00,280,10.000
714-068472-369,4700255571,0139190,000020,02,2014-09-15 16:19:49.000,2014-09-15 16:19:49.000,2014-09-15 16:55:10.000,NULL,2014-09-26 00:00:00.000,2014-10-20 00:00:00.000,370.93,200,4.000
714-068472-408,4700260492,0143038,000010,01,2014-10-16 17:58:20.000,2014-10-17 08:21:48.000,2014-10-17 08:30:48.000,2014-10-17 10:20:32.000,2014-10-17 00:00:00.000,2014-10-28 00:00:00.000,200.00,280,5.000
714-068472-401,4700106986,0025233,000010,01,2010-02-17 14:56:44.000,2010-02-17 15:43:05.000,NULL,NULL,2010-03-02 00:00:00.000,2010-03-08 00:00:00.000,400.00,800,1.000
714-068472-411,4700165382,0071795,000010,02,2012-06-22 07:42:43.000,2012-06-22 09:01:12.000,NULL,NULL,2012-06-22 00:00:00.000,2012-06-27 00:00:00.000,116.74,116.74,3.000
714-068472-007,4700172677,0078404,000010,01,2012-10-03 11:18:56.000,2012-10-03 11:26:27.000,NULL,2012-10-03 12:02:43.000,2012-10-03 00:00:00.000,2012-10-19 00:00:00.000,160.00,117,5.000
714-068472-005,4700181370,0085019,000010,01,2013-01-24 16:11:15.000,2013-01-24 16:32:02.000,NULL,NULL,2013-01-24 00:00:00.000,2013-01-31 00:00:00.000,699.00,233,3.000
714-068472-154,4700182751,0085816,000010,01,2013-02-07 10:08:23.000,2013-02-07 10:14:56.000,NULL,NULL,2013-02-08 00:00:00.000,2013-02-21 00:00:00.000,700.00,687.82,1.000
714-068472-405,4700210863,0104228,000020,01,2013-10-10 09:13:42.000,2013-10-10 09:17:42.000,NULL,2013-10-11 07:51:05.000,2013-10-11 00:00:00.000,2013-10-21 00:00:00.000,150.00,380,10.000
714-068472-155,4700240358,0127388,000010,02,NULL,2014-05-27 16:56:14.000,2014-05-27 18:37:22.000,2014-05-28 08:33:28.000,2014-06-03 00:00:00.000,2014-06-06 00:00:00.000,291.00,480,2.000
714-068472-369,4700250526,0135474,000020,01,2014-08-07 17:03:21.000,2014-08-07 17:07:07.000,2014-08-07 20:00:04.000,2014-08-08 11:35:28.000,2014-08-08 00:00:00.000,2014-08-19 00:00:00.000,750.00,370.93,2.000
714-068472-012,4700260252,0142636,000040,01,2014-10-16 10:37:46.000,2014-10-16 11:00:34.000,NULL,NULL,2014-10-16 00:00:00.000,2014-10-31 00:00:00.000,100.00,200,10.000
714-068472-416,4700292825,0168650,000020,02,2015-06-16 16:40:41.000,2015-06-17 10:18:02.000,2015-06-17 10:35:19.000,2015-06-17 12:01:47.000,2015-06-19 00:00:00.000,2015-06-29 00:00:00.000,204.00,350,6.000
